adm3_name,adm4_name,lat,lon,is_rural,nearest_tower_km,gap_score,earthquake_raw,cyclone_raw,earthquake_score,cyclone_score,flood_score,hazard_score,safety_score,baseline_suitability
Insein,Urban,16.90282377,96.10389661,0,0.4209462120437818,0.0168378484817512,150.36870860433234,0.0643059016717413,0.8438962275839595,0.7935920281718544,0.0,0.8363505976721438,0.1636494023278561,3.465011943822919
Mingaladon,Nwe Khway,17.03518073,96.15242822,1,0.1854877748305622,0.0074195109932224,152.54252351281627,0.0617875471229142,0.9433597616101812,0.6738496197199203,0.0,0.902933240326642,0.0970667596733579,26.90117205469372
Mingaladon,Kone Ta La Paung,17.01144624,96.15179207,1,0.312665523992262,0.0125066209596904,151.78748283687992,0.0623934006181056,0.9088126556587584,0.7026566662563285,0.0,0.8778892572483938,0.1221107427516061,27.582058398855523
Mingaladon,Shwe Nant Thar,16.98417621,96.16322717,1,0.4656945175691206,0.0186277807027648,150.60517303525478,0.0632436258125965,0.8547157264655125,0.7430830679169963,0.0,0.837970827683235,0.1620291723167649,28.54810442691737
Mingaladon,Pyin Ma Pin,16.99531331,96.13725306,1,0.1289763812296108,0.0051590552491844,151.89875877845463,0.0625022751565985,0.9139041187625954,0.7078334192533654,0.0,0.8829935138362108,0.1170064861637891,27.064640607407902
Mingaladon,Thin Gan Kyun Gyi,16.95428284,96.16176311,1,0.5446077160687557,0.0217843086427502,149.82864938061945,0.0638974579382497,0.8191856605691236,0.7741713963993468,0.0,0.8124335209436571,0.1875664790563429,29.120555704410155
Mingaladon,Urban,17.00762585,96.11312766,0,0.4578660245299376,0.0183146409811975,152.77529779478223,0.0620093538933912,0.9540104166518736,0.6843960604187602,0.0,0.9135682632169064,0.0864317367830934,2.395354510618252
Mingaladon,Urban,17.05639172,96.13250221,0,0.5505090900372683,0.0220203636014907,153.92820252756172,0.0610062178580917,1.0,0.6366990731428341,0.0,0.945504860971425,0.0544951390285749,2.138648901518068
Shwepyithar,Oke Hpo,16.97570696,96.10166149,1,0.8636458544856034,0.0345458341794241,152.42816232870214,0.0625365990810468,0.9381271323357102,0.7094654489383339,0.0,0.9038278798261038,0.0961721201738962,28.51533185337389
Shwepyithar,Zee Kone,16.95102978,96.10566202,1,0.5127477916559302,0.0205099116662372,151.61999778571578,0.0631645054397106,0.9011493283808322,0.7393210622806644,0.0,0.876875088465807,0.123124911534193,28.077468372987124
Shwepyithar,Kyaung Kone,17.0081661,96.09542774,1,1.518297920424779,0.0607319168169911,153.90356077070317,0.0614482740691484,1.0,0.6577179068125089,0.0,0.9486576860218764,0.0513423139781237,29.414049718691327
Shwepyithar,Hlaw Kar,17.01200933,96.08271571,1,0.1235161214863703,0.0049406448594548,153.90356077070317,0.0614482740691484,1.0,0.6577179068125089,0.0,0.9486576860218764,0.0513423139781237,26.066573401239147
Shwepyithar,Urban,16.97406606,96.06793457,0,0.151393433265538,0.0060557373306215,153.11272681095676,0.0621914712401323,0.969449579526654,0.6930553533407269,0.0,0.9279904455987648,0.0720095544012351,1.4434875558558182
Thingangyun,Urban,16.82975272,96.19534226,0,0.1301871708131813,0.0052074868325272,145.8921799519571,0.067493423622294,0.6390713557896037,0.9451519249029724,0.0,0.684983441156609,0.3150165588433909,5.0376975926025
Yankin,Urban,16.83733177,96.16409074,0,0.0133807960627707,0.0005352318425108,146.99191849707637,0.0668951353775383,0.6893902131014732,0.916704589952105,0.0,0.7234873696290679,0.2765126303709321,4.179803366114631
South Okkalapa,Urban,16.84936123,96.18315896,0,0.0988609911939776,0.0039544396477591,146.68841840937353,0.0668458821640913,0.6755034782270463,0.9143627042931184,0.0,0.711332362136957,0.2886676378630429,4.567280946811191
North Okkalapa,Urban,16.91598129,96.15940276,0,0.2226468913427304,0.0089058756537092,148.97380052544094,0.064801147523474,0.7800718023181356,0.8171399162521545,0.0,0.7856320194082383,0.2143679805917616,3.749872248098978
Thaketa,Urban,16.79600134,96.21187724,0,0.3519112702335995,0.0140764508093439,144.67857677491958,0.0685893348590893,0.5835425890935522,0.997260175905406,0.0,0.6456002271153303,0.3543997728846697,6.1605836418306845
Dawbon,Urban,16.79077459,96.19083645,0,0.1903455392908856,0.0076138215716354,145.2025658237432,0.068480975815155,0.6075178605776297,0.992107933579443,0.0,0.6652063715279017,0.3347936284720982,5.4787337213796
