analysis_area,tower_sites,assigned_population_2020,mean_people_per_site,median_people_per_site,max_people_per_site,flood_exposed_sites
Hmawbi,114,291099.96095472574,2553.508429427419,1647.8487964868546,12342.365987062454,5
Kyauktan,20,225937.3996872306,11296.869984361529,4230.112311244011,96999.89802116156,3
Thanlyin,136,292122.92926710844,2147.962715199327,884.9280376434326,30027.35396373272,1
Yangon City,7759,6408747.289968133,825.9759363278945,366.75469970703125,51675.27959549427,32
