candidate_id,adm3_name,adm4_name,adm4_pcode,lat,lon,spatial_group,gap_score,population_score,is_rural,safety_score,elevation_score,nearest_tower_km,population_2020,earthquake_score,cyclone_score,flood_score,elevation_m,label_suitability_score,optimal_site,label_source
0,Hmawbi,Tat Gyi Kone,MMR013003001,17.099261363575067,96.06638221797552,Hmawbi,0.0309525481649112,0.736725954989656,1,0.2238325456092963,0.6756756756756757,0.7738137041227817,14818.590277194977,0.8840780964166377,0.1646738162437438,0.0,26.0,44.233134,0,dashboard_rule_top_quartile_v1
1,Hmawbi,Hla Pa Dar,MMR013003002,17.089827014388444,96.00656529281645,Hmawbi,0.0658599866798952,0.6477943846143994,1,0.2016875059439553,0.10810810810810811,1.6464996669973813,4648.077059984207,0.9135342279515374,0.1453893353149191,0.0,5.0,35.683502,0,dashboard_rule_top_quartile_v1
2,Hmawbi,Min,MMR013003003,17.084235950777696,95.98213787445948,Hmawbi,0.0652721640561363,0.6478963506681301,1,0.1952749318263996,0.10810810810810811,1.631804101403409,4654.260695338249,0.9222145886760004,0.1389511186600006,0.0,5.0,35.607399,0,dashboard_rule_top_quartile_v1
3,Hmawbi,Pet Tan,MMR013003004,17.051702566376758,95.99152277848026,Hmawbi,0.0658739219246267,0.6273613320475591,1,0.21975050246168,0.16216216216216217,1.646848048115667,3560.9583710432053,0.8874353265304389,0.1728631332496459,0.0,7.0,36.013134,0,dashboard_rule_top_quartile_v1
4,Hmawbi,Shwe Hlay Gyi,MMR013003005,17.036090552867687,95.98065773120145,Hmawbi,0.1491024364886785,0.479974325724636,1,0.2249395986269697,0.05405405405405406,3.727560912216963,520.5366950035095,0.879740179692525,0.1818749908958931,0.0,3.0,34.060040,0,dashboard_rule_top_quartile_v1
5,Hmawbi,Pa Thi,MMR013003006,17.0422862561957,95.96276670694158,Hmawbi,0.188451891950223,0.5572968959736534,1,0.2143449911967094,0.1891891891891892,4.711297298755575,1427.9997063875198,0.8947263579385628,0.1675840303700815,0.0,8.0,39.287417,0,dashboard_rule_top_quartile_v1
6,Hmawbi,Chaung Wa,MMR013003007,17.079650627650203,95.96446004109252,Hmawbi,0.1356647180887622,0.5664151620538,1,0.1915175850929026,0.08108108108108109,3.391617952219056,1608.3610916137695,0.9273817117749074,0.1347197326561741,0.0,4.0,35.851095,0,dashboard_rule_top_quartile_v1
7,Hmawbi,Hmaw Bi Chaung Wa,MMR013003008,17.065021011136587,95.95890599494156,Hmawbi,0.1704354871477091,0.5871783104454811,1,0.1988430537802266,0.10810810810810811,4.2608871786927285,2108.600300073624,0.9169127934963276,0.145207144985966,0.0,5.0,38.169564,0,dashboard_rule_top_quartile_v1
8,Hmawbi,Hnaw Kone,MMR013003009,17.106214556378703,95.97071793661742,Hmawbi,0.1638955797833735,0.6299033372397194,1,0.1763041359394661,0.16216216216216217,4.097389494584338,3680.9672939777374,0.9489454902553388,0.1139479822899721,0.0,7.0,39.537283,0,dashboard_rule_top_quartile_v1
9,Hmawbi,Bant Bway Kone,MMR013003010,17.110537271133605,96.0094742544625,Hmawbi,0.0234898108227792,0.6687108528855936,1,0.1891506031381179,0.1891891891891892,0.5872452705694802,6105.346125125885,0.9313370418489484,0.1280860752685062,0.0,8.0,35.519749,0,dashboard_rule_top_quartile_v1
10,Hmawbi,Hle Ngoke Chaung,MMR013003011,17.138622467913635,96.00338680755776,Hmawbi,0.0170305050718938,0.7604135234606976,1,0.1671718578411781,0.3783783783783784,0.4257626267973463,20179.82586812973,0.962113944836344,0.1002085936528634,0.0,15.0,39.935802,0,dashboard_rule_top_quartile_v1
11,Hmawbi,Hpu Gyi,MMR013003012,17.239482811187607,96.0031165031464,Hmawbi,0.1847759805396578,0.7395715783826506,1,0.1481877178096774,0.4594594594594595,4.619399513491445,15378.63969874382,1.0,0.0120818812688171,0.0,18.0,46.848553,1,dashboard_rule_top_quartile_v1
12,Hmawbi,Let Pan Tan Su,MMR013003013,17.204179963720694,96.04735719586482,Hmawbi,0.0551410246965729,0.7126273018900234,1,0.1407382833620363,0.7027027027027027,1.378525617414323,10823.45849686861,0.9999657668035536,0.0619387656996215,0.0,27.0,44.180947,0,dashboard_rule_top_quartile_v1
13,Hmawbi,War Pa Taw,MMR013003014,17.18576228306319,96.01884163233238,Hmawbi,0.1336188774013481,0.6517783181538783,1,0.1401673678714761,0.4594594594594595,3.340471935033702,4895.897790551186,1.0,0.065550880856826,0.0,18.0,42.486752,0,dashboard_rule_top_quartile_v1
14,Hmawbi,War Net Chaung Bu Tar,MMR013003015,17.15341160829254,96.04300256195144,Hmawbi,0.0919303680132479,0.6924963314411957,1,0.1752902536760751,0.2972972972972973,2.2982592003311986,8325.039285182953,0.951718596280815,0.1049929299015479,0.0,12.0,40.107929,0,dashboard_rule_top_quartile_v1
15,Hmawbi,Auk War Net Chaung,MMR013003016,17.1314145812115,96.05681193903818,Hmawbi,0.0254456318514326,0.7185912899973642,1,0.1974940285944449,0.8108108108108109,0.6361407962858151,11698.577612042429,0.9210044889105132,0.1310143722107919,0.0,31.0,45.078169,0,dashboard_rule_top_quartile_v1
16,Hmawbi,Ku Lar Kone (U Htun Hla Ah Su),MMR013003018,17.166867108216426,95.99331453280148,Hmawbi,0.0098674174847056,0.7031027827308592,1,0.1426226547226351,0.40540540540540543,0.2466854371176421,9559.594440460203,0.9961978391104508,0.0707278802232107,0.0,16.0,38.299500,0,dashboard_rule_top_quartile_v1
17,Hmawbi,Myo Chaung,MMR013003019,17.122963608148265,95.95236920539526,Hmawbi,0.2158957588234734,0.620211276274431,1,0.1582402696224849,0.10810810810810811,5.397393970586836,3243.96589076519,0.974313937883736,0.090619221175597,0.0,5.0,40.457106,0,dashboard_rule_top_quartile_v1
18,Hmawbi,Kan Ka Lay (M),MMR013003020,17.150340185871094,95.97688416146131,Hmawbi,0.0658742396862582,0.6739906875727327,1,0.1479499697005475,0.2702702702702703,1.6468559921564567,6540.422708272934,0.9886821395641616,0.0778014111327675,0.0,11.0,38.015318,0,dashboard_rule_top_quartile_v1
19,Hmawbi,Myaung Ta Kar,MMR013003021,17.187571788463476,95.96425673263842,Hmawbi,0.0265944979934769,0.7541215092967882,1,0.1440428781327074,0.24324324324324326,0.6648624498369231,18590.64738166332,1.0,0.0397141457819501,0.0,10.0,38.182152,0,dashboard_rule_top_quartile_v1
