threshold,precision,recall,f1
0.05,0.6533333333333333,1.0,0.7903225806451613
0.06,0.6901408450704225,1.0,0.8166666666666667
0.07,0.7205882352941176,1.0,0.8376068376068376
0.08,0.7313432835820896,1.0,0.8448275862068966
0.09,0.7538461538461538,1.0,0.8596491228070176
0.1,0.75,0.9795918367346939,0.8495575221238938
0.11,0.7619047619047619,0.9795918367346939,0.8571428571428571
0.12,0.7704918032786885,0.9591836734693877,0.8545454545454545
0.13,0.7704918032786885,0.9591836734693877,0.8545454545454545
0.14,0.8103448275862069,0.9591836734693877,0.8785046728971962
0.15,0.8245614035087719,0.9591836734693877,0.8867924528301887
0.16,0.8392857142857143,0.9591836734693877,0.8952380952380953
0.17,0.8363636363636363,0.9387755102040817,0.8846153846153846
0.18,0.8518518518518519,0.9387755102040817,0.8932038834951457
0.19,0.8518518518518519,0.9387755102040817,0.8932038834951457
0.2,0.8518518518518519,0.9387755102040817,0.8932038834951457
0.21,0.8518518518518519,0.9387755102040817,0.8932038834951457
0.22,0.8679245283018868,0.9387755102040817,0.9019607843137255
0.23,0.8679245283018868,0.9387755102040817,0.9019607843137255
0.24,0.8846153846153846,0.9387755102040817,0.9108910891089109
0.25,0.8846153846153846,0.9387755102040817,0.9108910891089109
0.26,0.8846153846153846,0.9387755102040817,0.9108910891089109
0.27,0.8846153846153846,0.9387755102040817,0.9108910891089109
0.28,0.8846153846153846,0.9387755102040817,0.9108910891089109
0.29,0.8846153846153846,0.9387755102040817,0.9108910891089109
0.3,0.8846153846153846,0.9387755102040817,0.9108910891089109
0.31,0.8846153846153846,0.9387755102040817,0.9108910891089109
0.32,0.8846153846153846,0.9387755102040817,0.9108910891089109
0.33,0.8846153846153846,0.9387755102040817,0.9108910891089109
0.34,0.8846153846153846,0.9387755102040817,0.9108910891089109
0.35,0.8846153846153846,0.9387755102040817,0.9108910891089109
0.36,0.8846153846153846,0.9387755102040817,0.9108910891089109
0.37,0.9019607843137255,0.9387755102040817,0.92
0.38,0.9019607843137255,0.9387755102040817,0.92
0.39,0.9019607843137255,0.9387755102040817,0.92
0.4,0.9019607843137255,0.9387755102040817,0.92
0.41,0.9019607843137255,0.9387755102040817,0.92
0.42,0.9019607843137255,0.9387755102040817,0.92
0.43,0.9019607843137255,0.9387755102040817,0.92
0.44,0.9019607843137255,0.9387755102040817,0.92
0.45,0.9019607843137255,0.9387755102040817,0.92
0.46,0.9019607843137255,0.9387755102040817,0.92
0.47,0.9019607843137255,0.9387755102040817,0.92
0.48,0.92,0.9387755102040817,0.9292929292929293
0.49,0.92,0.9387755102040817,0.9292929292929293
0.5,0.92,0.9387755102040817,0.9292929292929293
0.51,0.92,0.9387755102040817,0.9292929292929293
0.52,0.9183673469387755,0.9183673469387755,0.9183673469387755
0.53,0.9183673469387755,0.9183673469387755,0.9183673469387755
0.54,0.9183673469387755,0.9183673469387755,0.9183673469387755
0.55,0.9183673469387755,0.9183673469387755,0.9183673469387755
0.56,0.9183673469387755,0.9183673469387755,0.9183673469387755
0.57,0.9183673469387755,0.9183673469387755,0.9183673469387755
0.58,0.9183673469387755,0.9183673469387755,0.9183673469387755
0.59,0.9183673469387755,0.9183673469387755,0.9183673469387755
0.6,0.9183673469387755,0.9183673469387755,0.9183673469387755
0.61,0.9183673469387755,0.9183673469387755,0.9183673469387755
0.62,0.9375,0.9183673469387755,0.9278350515463918
0.63,0.9375,0.9183673469387755,0.9278350515463918
0.64,0.9375,0.9183673469387755,0.9278350515463918
0.65,0.9574468085106383,0.9183673469387755,0.9375
0.66,0.9565217391304348,0.8979591836734694,0.9263157894736842
0.67,0.9565217391304348,0.8979591836734694,0.9263157894736842
0.68,0.9565217391304348,0.8979591836734694,0.9263157894736842
0.69,0.9555555555555556,0.8775510204081632,0.9148936170212766
0.7,0.9555555555555556,0.8775510204081632,0.9148936170212766
0.71,0.9555555555555556,0.8775510204081632,0.9148936170212766
0.72,0.9555555555555556,0.8775510204081632,0.9148936170212766
0.73,0.9555555555555556,0.8775510204081632,0.9148936170212766
0.74,0.9555555555555556,0.8775510204081632,0.9148936170212766
0.75,0.9555555555555556,0.8775510204081632,0.9148936170212766
0.76,0.9555555555555556,0.8775510204081632,0.9148936170212766
0.77,0.9545454545454546,0.8571428571428571,0.9032258064516129
0.78,0.9545454545454546,0.8571428571428571,0.9032258064516129
0.79,0.9545454545454546,0.8571428571428571,0.9032258064516129
0.8,0.9545454545454546,0.8571428571428571,0.9032258064516129
0.81,0.9534883720930233,0.8367346938775511,0.8913043478260869
0.82,0.9534883720930233,0.8367346938775511,0.8913043478260869
0.83,0.9534883720930233,0.8367346938775511,0.8913043478260869
0.84,0.9534883720930233,0.8367346938775511,0.8913043478260869
0.85,0.9534883720930233,0.8367346938775511,0.8913043478260869
0.86,0.9523809523809523,0.8163265306122449,0.8791208791208791
0.87,0.9523809523809523,0.8163265306122449,0.8791208791208791
0.88,0.9523809523809523,0.8163265306122449,0.8791208791208791
0.89,0.9523809523809523,0.8163265306122449,0.8791208791208791
0.9,0.9512195121951219,0.7959183673469388,0.8666666666666667
0.91,0.9512195121951219,0.7959183673469388,0.8666666666666667
0.92,0.9512195121951219,0.7959183673469388,0.8666666666666667
0.93,0.9512195121951219,0.7959183673469388,0.8666666666666667
0.94,0.9512195121951219,0.7959183673469388,0.8666666666666667
0.95,0.9512195121951219,0.7959183673469388,0.8666666666666667
