time,place,status,tsunami,significance,data_type,magnitudo,state,longitude,latitude,depth,date
770223178660,"76 km W of Yenangyaung, Myanmar",reviewed,0,326,earthquake,4.6, Myanmar,94.144,20.53,33.0,1994-05-29 14:52:58.660000+00:00
771718572540,"84 km WSW of Chauk, Myanmar",reviewed,0,354,earthquake,4.8, Myanmar,94.052,20.65,76.2,1994-06-15 22:16:12.540000+00:00
777330165620,"32 km W of Nyaunglebin, Myanmar",reviewed,0,518,earthquake,5.8, Myanmar,96.415,17.974,12.3,1994-08-19 21:02:45.620000+00:00
785506196830,"231 km W of Dawei, Myanmar",reviewed,0,326,earthquake,4.6, Myanmar,96.045,14.161,33.0,1994-11-22 12:09:56.830000+00:00
785518715000,"274 km W of Dawei, Myanmar",reviewed,0,432,earthquake,5.3, Myanmar,95.689,13.661,33.0,1994-11-22 15:38:35+00:00
790853237410,"27 km S of Pyinmana, Myanmar",reviewed,0,400,earthquake,5.1, Myanmar,96.211,19.486,33.0,1995-01-23 09:27:17.410000+00:00
791503332110,"155 km W of Pyay, Myanmar",reviewed,0,385,earthquake,5.0, Myanmar,93.767,18.62,33.0,1995-01-30 22:02:12.110000+00:00
794533407460,"88 km ENE of Sittwe, Myanmar",reviewed,0,298,earthquake,4.4, Myanmar,93.602,20.586,40.0,1995-03-06 23:43:27.460000+00:00
799464783100,"152 km WSW of Dawei, Myanmar",reviewed,0,284,earthquake,4.3, Myanmar,96.971,13.386,33.0,1995-05-03 01:33:03.100000+00:00
800660885830,"28 km WSW of Nyaunglebin, Myanmar",reviewed,0,572,earthquake,6.1, Myanmar,96.457,17.899,11.4,1995-05-16 21:48:05.830000+00:00
816591944440,"15 km ESE of Nyaungdon, Myanmar",reviewed,0,298,earthquake,4.4, Myanmar,95.773,16.982,33.0,1995-11-17 07:05:44.440000+00:00
821201886270,"234 km WSW of Dawei, Myanmar",reviewed,0,234,earthquake,3.9, Myanmar,96.308,13.04,33.0,1996-01-09 15:38:06.270000+00:00
823522612090,"44 km NNE of Paungde, Myanmar",reviewed,0,284,earthquake,4.3, Myanmar,95.664,18.862,33.0,1996-02-05 12:16:52.090000+00:00
824368748400,"131 km SSE of Pyapon, Myanmar",reviewed,0,354,earthquake,4.8, Myanmar,96.257,15.234,13.8,1996-02-15 07:19:08.400000+00:00
827060695710,"36 km SSE of Kanbe, Myanmar",reviewed,0,259,earthquake,4.1, Myanmar,96.168,16.418,22.7,1996-03-17 11:04:55.710000+00:00
828020381400,"32 km NNE of Bago, Myanmar",reviewed,0,271,earthquake,4.2, Myanmar,96.597,17.609,33.0,1996-03-28 13:39:41.400000+00:00
831834585490,"17 km ENE of Yenangyaung, Myanmar",reviewed,0,298,earthquake,4.4, Myanmar,95.033,20.516,111.0,1996-05-11 17:09:45.490000+00:00
832978252490,"35 km SE of Chauk, Myanmar",reviewed,0,298,earthquake,4.4, Myanmar,95.093,20.713,124.7,1996-05-24 22:50:52.490000+00:00
840916960000,"99 km ESE of Taunggyi, Myanmar",reviewed,0,298,earthquake,4.4, Myanmar,97.935,20.489,33.0,1996-08-24 20:02:40+00:00
847704147760,"17 km W of Thayetmyo, Myanmar",reviewed,0,554,earthquake,6.0, Myanmar,95.013,19.33,80.0,1996-11-11 09:22:27.760000+00:00
848068694580,"121 km S of Sittwe, Myanmar",reviewed,0,284,earthquake,4.3, Myanmar,92.992,19.049,33.0,1996-11-15 14:38:14.580000+00:00
852835577800,"242 km W of Myeik, Myanmar",reviewed,0,354,earthquake,4.8, Myanmar,96.384,12.179,33.0,1997-01-09 18:46:17.800000+00:00
859299446450,"60 km N of Pathein, Myanmar",reviewed,0,271,earthquake,4.2, Myanmar,94.634,17.318,33.0,1997-03-25 14:17:26.450000+00:00
889831716920,"147 km SW of Mawlamyinegyunn, Myanmar",reviewed,0,199,earthquake,3.6, Myanmar,94.235,15.495,33.0,1998-03-13 23:28:36.920000+00:00
