yangon_tower_id,distance_to_grouped_site_m,radio,MCC,MNC,TAC,CID,LON,LAT,RANGE,averageSignal,Network,adm3_name
1450,0.0,UMTS,414,1,351,2042448,96.189652,16.877975,1000,0,MPT,Dagon Myothit (North)
1470,0.0,UMTS,414,1,351,2041937,96.187362670898,16.88117980957,1000,0,MPT,Dagon Myothit (North)
1427,0.0,UMTS,414,1,351,2041627,96.19010925293,16.875686645508,1000,0,MPT,Dagon Myothit (North)
1428,0.0,UMTS,414,1,351,2042118,96.191482543945,16.875686645508,1000,0,MPT,Dagon Myothit (North)
1422,0.0,GSM,414,1,301,13013,96.198807,16.874771,1000,0,MPT,Dagon Myothit (North)
1390,0.0,GSM,414,1,301,13341,96.192856,16.87088,1000,0,MPT,Dagon Myothit (North)
1372,0.0,GSM,414,1,301,13333,96.192856,16.867905,1000,0,MPT,Dagon Myothit (North)
1404,0.0,GSM,414,1,301,13331,96.195602416992,16.872940063477,1000,0,MPT,Dagon Myothit (North)
1478,0.0,GSM,414,1,301,13011,96.201095581055,16.882553100586,1000,0,MPT,Dagon Myothit (North)
1488,0.0,GSM,414,1,301,13222,96.201095581055,16.883926391602,1000,0,MPT,Dagon Myothit (North)
1496,0.0,GSM,414,1,301,13221,96.199722290039,16.885299682617,1000,0,MPT,Dagon Myothit (North)
1509,0.0,UMTS,414,1,301,2042107,96.199722290039,16.886672973633,1000,0,MPT,Dagon Myothit (North)
1518,0.0,UMTS,414,1,351,2042107,96.198348999023,16.888046264648,1000,0,MPT,Dagon Myothit (North)
1577,0.0,GSM,414,1,301,13671,96.190796,16.901093,1000,0,MPT,Dagon Myothit (North)
4164,0.0,UMTS,414,1,7001,132895,96.15852355957,16.776809692383,1000,0,MPT,Kyauktada
5222,0.0,GSM,414,1,300,10052,96.139297,16.873627,1000,0,MPT,Mayangone
5143,0.0,GSM,414,1,300,11023,96.135864,16.86882,1000,0,MPT,Mayangone
5058,0.0,UMTS,414,1,300,2041779,96.142044067383,16.866073608398,1000,0,MPT,Mayangone
4971,0.0,GSM,414,1,300,12082,96.143417358398,16.863327026367,1000,0,MPT,Mayangone
4756,0.0,UMTS,414,1,351,2041637,96.140670776367,16.855087280273,1000,0,MPT,Mayangone
