radio,MCC,MNC,TAC,CID,LON,LAT,RANGE,averageSignal,Network,adm3_name
UMTS,414,1,351,2041627,96.19010925293,16.875686645508,1000,0,MPT,Dagon Myothit (North)
UMTS,414,1,351,2042118,96.191482543945,16.875686645508,1000,0,MPT,Dagon Myothit (North)
GSM,414,1,301,13013,96.198807,16.874771,1000,0,MPT,Dagon Myothit (North)
GSM,414,1,301,13341,96.192856,16.87088,1000,0,MPT,Dagon Myothit (North)
GSM,414,1,301,13333,96.192856,16.867905,1000,0,MPT,Dagon Myothit (North)
GSM,414,1,301,13331,96.195602416992,16.872940063477,1000,0,MPT,Dagon Myothit (North)
GSM,414,1,301,13011,96.201095581055,16.882553100586,1000,0,MPT,Dagon Myothit (North)
GSM,414,1,301,13222,96.201095581055,16.883926391602,1000,0,MPT,Dagon Myothit (North)
GSM,414,1,301,13221,96.199722290039,16.885299682617,1000,0,MPT,Dagon Myothit (North)
UMTS,414,1,301,2042107,96.199722290039,16.886672973633,1000,0,MPT,Dagon Myothit (North)
UMTS,414,1,351,2042107,96.198348999023,16.888046264648,1000,0,MPT,Dagon Myothit (North)
GSM,414,1,301,13671,96.190796,16.901093,1000,0,MPT,Dagon Myothit (North)
UMTS,414,1,7001,132895,96.15852355957,16.776809692383,1000,0,MPT,Kyauktada
GSM,414,1,300,10052,96.139297,16.873627,1000,0,MPT,Mayangone
GSM,414,1,300,11023,96.135864,16.86882,1000,0,MPT,Mayangone
UMTS,414,1,300,2041779,96.142044067383,16.866073608398,1000,0,MPT,Mayangone
GSM,414,1,300,12082,96.143417358398,16.863327026367,1000,0,MPT,Mayangone
UMTS,414,1,351,2041637,96.140670776367,16.855087280273,1000,0,MPT,Mayangone
UMTS,414,1,351,2041639,96.140670776367,16.853713989258,1000,0,MPT,Mayangone
UMTS,414,1,351,2041638,96.145477,16.853714,1000,0,MPT,Mayangone
UMTS,414,1,351,2041709,96.155777,16.850967,1000,0,MPT,Mayangone
GSM,414,1,300,11043,96.15509,16.850967,1000,0,MPT,Mayangone
GSM,414,1,5001,11161,96.155776977539,16.849594116211,1000,0,MPT,Mayangone
GSM,414,1,301,13293,96.183243,16.895599,1000,0,MPT,Dagon Myothit (North)
GSM,414,1,301,13292,96.178436,16.892166,1000,0,MPT,Dagon Myothit (North)
GSM,414,1,301,13502,96.17569,16.89045,1000,0,MPT,Dagon Myothit (North)
GSM,414,1,301,13321,96.164841,16.887222,1114,0,MPT,Dagon Myothit (North)
GSM,414,1,301,13633,96.16127,16.886673,1000,0,MPT,Dagon Myothit (North)
GSM,414,1,300,10203,96.081619262695,16.878433227539,1000,0,MPT,Hlaingtharya (East)
GSM,414,1,300,10201,96.084366,16.87912,1000,0,MPT,Hlaingtharya (East)
GSM,414,1,300,12122,96.091232,16.882553,1000,0,MPT,Insein
GSM,414,1,300,11083,96.111145,16.88942,1000,0,MPT,Insein
GSM,414,1,300,11082,96.109772,16.886673,1000,0,MPT,Insein
UMTS,414,1,7001,132784,96.175003,16.799469,1000,0,MPT,Tamwe
UMTS,414,1,7001,132790,96.175003051758,16.798782348633,1000,0,MPT,Tamwe
UMTS,414,1,7002,591658,96.271133422852,16.833114624023,1000,0,MPT,Dagon Myothit (Seikkan)
UMTS,414,1,351,2041989,96.125564575195,16.89079284668,1000,0,MPT,Insein
UMTS,414,1,7001,133104,96.172256469727,16.776809692383,1000,0,MPT,Pazundaung
UMTS,414,1,351,2041622,96.158524,16.910877,1000,0,MPT,North Okkalapa
UMTS,414,1,7001,134047,96.170883178711,16.778182983398,1000,0,MPT,Pazundaung
UMTS,414,1,7001,134044,96.170883178711,16.778182983398,1000,0,MPT,Pazundaung
UMTS,414,1,351,2042114,96.195602,16.880493,1000,0,MPT,Dagon Myothit (North)
UMTS,414,1,351,2042108,96.196289,16.880493,1000,0,MPT,Dagon Myothit (North)
UMTS,414,1,7002,592159,96.175003051758,16.83723449707,1000,0,MPT,South Okkalapa
UMTS,414,1,7001,132807,96.131057739258,16.794662475586,1000,0,MPT,Ahlone
UMTS,414,1,7001,133108,96.173629760742,16.78092956543,1000,0,MPT,Pazundaung
UMTS,414,1,7002,591880,96.121445,16.823158,1000,0,MPT,Kamaryut
UMTS,414,1,7002,591877,96.121444702148,16.823501586914,1000,0,MPT,Kamaryut
GSM,414,1,5002,20592,96.560897827148,16.907272338867,1000,0,MPT,Kayan
UMTS,414,1,351,2041712,96.159439,16.850052,1000,0,MPT,Mayangone
UMTS,414,1,7002,592525,96.126937866211,16.842727661133,1000,0,MPT,Hlaing
UMTS,414,1,351,2042095,96.062393,16.876935,1000,0,MPT,Hlaingtharya (East)
UMTS,414,1,351,2042094,96.065826,16.876373,1000,0,MPT,Hlaingtharya (East)
UMTS,414,1,351,2042258,96.110458374023,16.850967407227,1000,0,MPT,Hlaing
UMTS,414,1,351,2042261,96.109085083008,16.850967407227,1000,0,MPT,Hlaing
UMTS,414,1,351,2042264,96.109085083008,16.850967407227,1000,0,MPT,Hlaing
UMTS,414,1,351,2042259,96.109085083008,16.850967407227,1000,0,MPT,Hlaing
UMTS,414,1,351,2042265,96.109085083008,16.850967407227,1000,0,MPT,Hlaing
UMTS,414,1,351,2042091,96.06514,16.871567,1000,0,MPT,Hlaingtharya (East)
UMTS,414,1,351,2042142,96.057587,16.863327,1000,0,MPT,Hlaingtharya (East)
UMTS,414,1,351,2042145,96.063766479492,16.861953735352,1000,0,MPT,Hlaingtharya (East)
UMTS,414,1,351,2041907,96.120071411133,16.88117980957,1000,0,MPT,Insein
UMTS,414,1,351,2041909,96.118698120117,16.88117980957,1000,0,MPT,Insein
UMTS,414,1,351,2041929,96.11457824707,16.878433227539,1000,0,MPT,Insein
UMTS,414,1,351,2041727,96.112518,16.879807,1000,0,MPT,Insein
UMTS,414,1,351,2042580,96.109085083008,16.885299682617,1000,0,MPT,Insein
UMTS,414,1,351,2042748,96.10817,16.888504,1000,0,MPT,Insein
UMTS,414,1,351,2042730,96.102562,16.887016,1000,0,MPT,Insein
UMTS,414,1,351,2043040,96.100845336914,16.886672973633,1000,0,MPT,Insein
UMTS,414,1,351,2042733,96.100845336914,16.886672973633,1000,0,MPT,Insein
UMTS,414,1,351,2042734,96.099014,16.8853,1000,0,MPT,Insein
UMTS,414,1,351,2043004,96.095352,16.88427,1000,0,MPT,Insein
UMTS,414,1,351,2043003,96.096725463867,16.885299682617,1000,0,MPT,Insein
UMTS,414,1,351,2043005,96.09260559082,16.882553100586,1000,0,MPT,Insein
UMTS,414,1,351,2042103,96.083908,16.879349,1000,0,MPT,Hlaingtharya (East)
UMTS,414,1,351,2042099,96.077499,16.877747,1000,0,MPT,Hlaingtharya (East)
UMTS,414,1,351,2042102,96.076584,16.878433,1000,0,MPT,Hlaingtharya (East)
UMTS,414,1,351,2042105,96.074753,16.876717,1000,0,MPT,Hlaingtharya (East)
UMTS,414,1,351,2042092,96.062393188477,16.877059936523,1000,0,MPT,Hlaingtharya (East)
UMTS,414,1,7002,591655,96.267013549805,16.82487487793,1000,0,MPT,Dagon Myothit (Seikkan)
UMTS,414,1,351,2042194,96.157150268555,16.926498413086,1000,0,MPT,Mingaladon
UMTS,414,1,351,2042727,96.107711791992,16.888046264648,1000,0,MPT,Insein
UMTS,414,1,351,2042751,96.106338500977,16.888046264648,1000,0,MPT,Insein
UMTS,414,1,351,2042174,96.104965209961,16.888046264648,1000,0,MPT,Insein
UMTS,414,1,351,2043043,96.103592,16.88736,1000,0,MPT,Insein
UMTS,414,1,351,2043037,96.103591918945,16.888046264648,1000,0,MPT,Insein
UMTS,414,1,351,2042100,96.082992553711,16.878433227539,1000,0,MPT,Hlaingtharya (East)
UMTS,414,1,351,2042090,96.069259643555,16.877059936523,1000,0,MPT,Hlaingtharya (East)
UMTS,414,1,351,2041725,96.095352172852,16.899032592773,1000,0,MPT,Insein
UMTS,414,1,351,2042175,96.095352172852,16.899032592773,1000,0,MPT,Insein
UMTS,414,1,351,2041719,96.095352172852,16.899032592773,1000,0,MPT,Insein
UMTS,414,1,351,2041722,96.095352172852,16.899032592773,1000,0,MPT,Insein
UMTS,414,1,351,2042193,96.159897,16.931992,1000,0,MPT,Mingaladon
UMTS,414,1,351,2042190,96.159622,16.93309,1000,0,MPT,Mingaladon
UMTS,414,1,351,2042187,96.159439,16.932907,1000,0,MPT,Mingaladon
UMTS,414,1,351,2041814,96.115951538086,16.839981079102,1000,0,MPT,Hlaing
UMTS,414,1,351,2041811,96.115951538086,16.839981079102,1000,0,MPT,Hlaing
UMTS,414,1,7001,133719,96.170883178711,16.801528930664,1000,0,MPT,Tamwe
UMTS,414,1,7001,133716,96.170883178711,16.801528930664,1000,0,MPT,Tamwe
UMTS,414,1,7002,591519,96.166763305664,16.834487915039,1000,0,MPT,Yankin
UMTS,414,1,7001,133015,96.151657104492,16.818008422852,1000,0,MPT,Bahan
UMTS,414,1,7001,132697,96.151657104492,16.818008422852,1000,0,MPT,Bahan
UMTS,414,1,7001,132785,96.165390014648,16.796035766602,1000,0,MPT,Bahan
UMTS,414,1,7001,133715,96.165390014648,16.796035766602,1000,0,MPT,Bahan
UMTS,414,1,7002,591505,96.213455200195,16.818008422852,1000,0,MPT,Thingangyun
UMTS,414,1,7002,591508,96.213455200195,16.818008422852,1000,0,MPT,Thingangyun
GSM,414,1,301,13793,96.131057739258,16.962203979492,1000,0,MPT,Mingaladon
UMTS,414,1,351,2041785,96.137924194336,16.86882019043,1000,0,MPT,Mayangone
UMTS,414,1,351,2041655,96.109085083008,16.861953735352,1000,0,MPT,Mayangone
UMTS,414,1,351,2041653,96.109085083008,16.861953735352,1000,0,MPT,Mayangone
UMTS,414,1,7001,133643,96.127625,16.787109,1000,0,MPT,Ahlone
UMTS,414,1,7001,133646,96.126937866211,16.787796020508,1000,0,MPT,Ahlone
UMTS,414,1,7001,133648,96.127625,16.787109,1000,0,MPT,Ahlone
UMTS,414,1,7001,133645,96.128311157227,16.787796020508,1000,0,MPT,Ahlone
UMTS,414,1,7002,591458,96.151657104492,16.844100952148,1000,0,MPT,Mayangone
UMTS,414,1,7002,591459,96.151657104492,16.844100952148,1000,0,MPT,Mayangone
UMTS,414,1,7001,132630,96.142044067383,16.791915893555,1000,0,MPT,Dagon
UMTS,414,1,7001,132628,96.142044067383,16.791915893555,1000,0,MPT,Dagon
UMTS,414,1,7001,132625,96.142044067383,16.79328918457,1000,0,MPT,Dagon
UMTS,414,1,7001,134166,96.150283813477,16.774063110352,1000,0,MPT,Latha
UMTS,414,1,7001,134163,96.151657104492,16.774063110352,1000,0,MPT,Latha
UMTS,414,1,7001,132443,96.15097,16.774063,1000,0,MPT,Latha
UMTS,414,1,7001,134160,96.150283813477,16.774063110352,1000,0,MPT,Latha
UMTS,414,1,7001,132354,96.15097,16.774063,1000,0,MPT,Latha
UMTS,414,1,7001,134169,96.150283813477,16.774063110352,1000,0,MPT,Latha
UMTS,414,1,7001,134165,96.150283813477,16.774063110352,1000,0,MPT,Latha
UMTS,414,1,7001,134168,96.15097,16.774063,1000,0,MPT,Latha
UMTS,414,1,351,2042664,96.063766479492,17.059707641602,1000,0,MPT,Hmawbi
GSM,414,1,301,13112,96.063766479492,17.059707641602,1000,0,MPT,Hmawbi
UMTS,414,1,351,2042833,96.159348,16.896011,1000,0,MPT,North Okkalapa
UMTS,414,1,7001,133963,96.129227,16.805649,1000,0,MPT,Sanchaung
UMTS,414,1,351,2041647,96.109085083008,16.861953735352,1000,0,MPT,Mayangone
UMTS,414,1,351,2041649,96.109085083008,16.861953735352,1000,0,MPT,Mayangone
UMTS,414,1,7001,133085,96.175003051758,16.812515258789,1000,0,MPT,Tamwe
UMTS,414,1,7001,133476,96.176376342773,16.818008422852,1000,0,MPT,Tamwe
UMTS,414,1,7001,133478,96.176376342773,16.818008422852,1000,0,MPT,Tamwe
UMTS,414,1,7001,133473,96.176376342773,16.818008422852,1000,0,MPT,Tamwe
UMTS,414,1,351,2042335,96.054153442383,16.855087280273,1000,0,MPT,Hlaingtharya (East)
UMTS,414,1,351,2041779,96.137924194336,16.86882019043,1000,0,MPT,Mayangone
GSM,414,1,351,11023,96.137924194336,16.86882019043,1000,0,MPT,Mayangone
GSM,414,1,300,12733,96.139297,16.870193,1000,0,MPT,Mayangone
UMTS,414,1,7001,132503,96.143417358398,16.775436401367,1000,0,MPT,Lanmadaw
UMTS,414,1,7001,132509,96.143417358398,16.775436401367,1000,0,MPT,Lanmadaw
UMTS,414,1,7002,591737,96.191998,16.818352,1000,0,MPT,Thingangyun
UMTS,414,1,7002,591740,96.192032,16.818283,1000,0,MPT,Thingangyun
UMTS,414,1,7001,133956,96.192581,16.818008,1000,0,MPT,Thingangyun
GSM,414,1,300,12012,96.122818,16.846161,1000,0,MPT,Hlaing
UMTS,414,1,7001,132981,96.176376342773,16.80290222168,1000,0,MPT,Tamwe
UMTS,414,1,7001,132540,96.176376342773,16.80290222168,1000,0,MPT,Tamwe
UMTS,414,1,7001,132534,96.155082,16.731492,8258,0,MPT,Dala
UMTS,414,1,351,2042818,96.122303,16.838608,1000,0,MPT,Hlaing
UMTS,414,1,351,2042228,96.206588745117,16.894912719727,1000,0,MPT,Dagon Myothit (East)
UMTS,414,1,7001,133385,96.16813659668,16.774063110352,1000,0,MPT,Botahtaung
UMTS,414,1,7001,133383,96.16813659668,16.774063110352,1000,0,MPT,Botahtaung
UMTS,414,1,7001,133388,96.168137,16.773514,1000,0,MPT,Botahtaung
UMTS,414,1,351,2042679,96.107711791992,16.85920715332,1000,0,MPT,Mayangone
UMTS,414,1,7001,132598,96.135177612305,16.819381713867,1000,0,MPT,Kamaryut
UMTS,414,1,7002,592980,96.175003051758,16.827621459961,1000,0,MPT,Yankin
UMTS,414,1,7002,591526,96.188735961914,16.827621459961,1000,0,MPT,Thingangyun
UMTS,414,1,351,2041764,96.10221862793,16.877059936523,1000,0,MPT,Insein
UMTS,414,1,7002,590996,96.128998,16.831741,1000,0,MPT,Kamaryut
UMTS,414,1,351,2041708,96.161270141602,16.852340698242,1000,0,MPT,Yankin
UMTS,414,1,351,2041714,96.126948,16.907275,7176,0,MPT,Mingaladon
UMTS,414,1,7001,132946,96.157150268555,16.782302856445,1000,0,MPT,Dagon
UMTS,414,1,351,2042440,96.157150268555,16.915512084961,1000,0,MPT,North Okkalapa
UMTS,414,1,351,2979595,96.156601,16.892441,1000,0,MPT,North Okkalapa
UMTS,414,1,351,2979600,96.154403686523,16.882553100586,1000,0,MPT,North Okkalapa
UMTS,414,1,351,2979614,96.157150268555,16.871566772461,1000,0,MPT,North Okkalapa
UMTS,414,1,351,2979620,96.147537231445,16.870193481445,1000,0,MPT,Mayangone
UMTS,414,1,351,2979622,96.144333,16.866989,1000,0,MPT,Mayangone
UMTS,414,1,351,2979626,96.141357,16.856804,1054,0,MPT,Mayangone
UMTS,414,1,351,2979631,96.140670776367,16.853713989258,1000,0,MPT,Mayangone
UMTS,414,1,7002,2979632,96.13655090332,16.84684753418,1000,0,MPT,Hlaing
UMTS,414,1,7001,2979652,96.137466,16.817551,3106,0,MPT,Kamaryut
UMTS,414,1,351,2980425,96.157150268555,16.897659301758,1000,0,MPT,North Okkalapa
UMTS,414,1,351,2980426,96.157150268555,16.897659301758,1000,0,MPT,North Okkalapa
UMTS,414,1,351,2987046,96.082992553711,16.867446899414,1000,0,MPT,Hlaingtharya (East)
UMTS,414,1,7001,2990544,96.17363,16.784706,1000,0,MPT,Mingalartaungnyunt
UMTS,414,1,7001,2990553,96.173629760742,16.785049438477,1000,0,MPT,Mingalartaungnyunt
UMTS,414,1,7001,3004728,96.192855834961,16.778182983398,1000,0,MPT,Dawbon
UMTS,414,1,7001,3004730,96.192855834961,16.778182983398,1000,0,MPT,Dawbon
UMTS,414,1,7001,3004732,96.192855834961,16.778182983398,1000,0,MPT,Dawbon
UMTS,414,1,7001,3004734,96.192855834961,16.778182983398,1000,0,MPT,Dawbon
UMTS,414,1,7001,3016888,96.159896850586,16.77131652832,1000,0,MPT,Kyauktada
UMTS,414,1,7001,3016891,96.159896850586,16.77131652832,1000,0,MPT,Kyauktada
UMTS,414,1,7001,3016976,96.154403686523,16.779556274414,1000,0,MPT,Pabedan
UMTS,414,1,7001,3016979,96.15852355957,16.779556274414,1000,0,MPT,Pabedan
UMTS,414,1,7001,3039800,96.165390014648,16.787796020508,1000,0,MPT,Mingalartaungnyunt
UMTS,414,1,7002,591908,96.201095581055,16.830368041992,1000,0,MPT,Thingangyun
UMTS,414,1,7002,591905,96.201095581055,16.830368041992,1000,0,MPT,Thingangyun
UMTS,414,1,7001,133400,96.180496,16.804962,1000,0,MPT,Tamwe
UMTS,414,1,7001,133397,96.18049621582,16.805648803711,1000,0,MPT,Tamwe
UMTS,414,1,351,2041813,96.117324829102,16.845474243164,1000,0,MPT,Hlaing
UMTS,414,1,351,2042864,96.023941040039,16.871566772461,1000,0,MPT,Hlaingtharya (West)
UMTS,414,1,351,2042861,96.023941040039,16.872940063477,1000,0,MPT,Hlaingtharya (West)
UMTS,414,1,351,2041807,96.117324829102,16.845474243164,1000,0,MPT,Hlaing
UMTS,414,1,351,2041810,96.117324829102,16.845474243164,1000,0,MPT,Hlaing
UMTS,414,1,351,2041922,96.117324829102,16.845474243164,1000,0,MPT,Hlaing
GSM,414,1,306,12192,96.078415,16.93306,2486,0,MPT,Insein
UMTS,414,1,352,2703190,96.150284,16.807938,1000,0,MPT,Bahan
GSM,414,1,304,16131,96.146622,16.808395,1000,0,MPT,Bahan
UMTS,414,1,352,2703187,96.150283813477,16.808395385742,1000,0,MPT,Bahan
UMTS,414,1,353,2704498,96.188735961914,16.833114624023,1000,0,MPT,Thingangyun
UMTS,414,1,353,2704504,96.188735961914,16.833114624023,1000,0,MPT,Thingangyun
UMTS,414,1,352,2704312,96.175003,16.791229,1000,0,MPT,Mingalartaungnyunt
UMTS,414,1,352,2703529,96.155777,16.778183,1000,0,MPT,Pabedan
UMTS,414,1,352,2703532,96.155777,16.778183,1000,0,MPT,Pabedan
GSM,414,1,300,12133,96.089172,16.928559,1119,0,MPT,Insein
UMTS,414,1,353,2704497,96.188735961914,16.833114624023,1000,0,MPT,Thingangyun
GSM,414,1,302,16191,96.190109,16.826722,1000,0,MPT,Thingangyun
UMTS,414,1,351,2041867,96.213455,16.858749,1000,0,MPT,Dagon Myothit (North)
UMTS,414,1,353,2704280,96.213455200195,16.857833862305,1000,0,MPT,Dagon Myothit (South)
UMTS,414,1,351,2042668,96.151657,17.032559,1000,0,MPT,Mingaladon
UMTS,414,1,351,2042797,96.151657104492,17.032241821289,1000,0,MPT,Mingaladon
UMTS,414,1,351,2042674,96.151657,17.0327,1000,0,MPT,Mingaladon
UMTS,414,1,351,2042671,96.151657104492,17.032241821289,1000,0,MPT,Mingaladon
UMTS,414,1,351,2042851,96.151657104492,17.032241821289,1000,0,MPT,Mingaladon
UMTS,414,1,351,2042803,96.151657104492,17.032241821289,1000,0,MPT,Mingaladon
UMTS,414,1,351,2042280,96.151657104492,17.032241821289,1000,0,MPT,Mingaladon
UMTS,414,1,351,2042800,96.151657104492,17.032241821289,1000,0,MPT,Mingaladon
UMTS,414,1,353,2704162,96.218948364258,16.850967407227,1000,0,MPT,Dagon Myothit (South)
UMTS,414,1,353,2704159,96.236801147461,16.856460571289,1000,0,MPT,Dagon Myothit (South)
UMTS,414,1,353,2703537,96.236801147461,16.856460571289,1000,0,MPT,Dagon Myothit (South)
UMTS,414,1,353,2704277,96.236801147461,16.856460571289,1000,0,MPT,Dagon Myothit (South)
UMTS,414,1,353,2704743,96.192856,16.849869,1380,0,MPT,South Okkalapa
UMTS,414,1,352,2704998,96.139297485352,16.779556274414,1000,0,MPT,Lanmadaw
UMTS,414,1,352,2704051,96.151657,16.783426,1000,0,MPT,Dagon
UMTS,414,1,352,2703950,96.154404,16.782428,1000,0,MPT,Dagon
UMTS,414,1,351,2042409,96.162643432617,16.88117980957,1000,0,MPT,North Okkalapa
UMTS,414,1,353,2701135,96.156464,16.826935,1000,0,MPT,Bahan
UMTS,414,1,358,2898139,96.167679,16.853256,1000,0,MPT,South Okkalapa
UMTS,414,1,359,2894929,96.198348999023,16.874313354492,1000,0,MPT,Dagon Myothit (North)
UMTS,414,1,358,2894519,96.132431,16.866531,1000,0,MPT,Mayangone
GSM,414,1,353,17329,96.154404,16.830643,1000,0,MPT,Mayangone
GSM,414,1,353,17327,96.155467,16.834045,1000,0,MPT,Yankin
GSM,414,1,353,16658,96.156052,16.838196,1000,0,MPT,Yankin
GSM,414,1,353,18019,96.157150268555,16.838607788086,1000,0,MPT,Yankin
UMTS,414,1,352,2703865,96.162643432617,16.772689819336,1000,0,MPT,Kyauktada
UMTS,414,1,352,2703859,96.162643432617,16.772689819336,1000,0,MPT,Kyauktada
GSM,414,1,303,17811,96.16848,16.794233,1000,0,MPT,Bahan
UMTS,414,1,352,2704209,96.12419128418,16.823501586914,1000,0,MPT,Kamaryut
UMTS,414,1,351,2041994,96.133804321289,16.883926391602,1000,0,MPT,Insein
GSM,414,1,300,12343,96.120071,16.867104,1000,0,MPT,Mayangone
GSM,414,1,306,12551,96.087112426758,16.866073608398,1000,0,MPT,Hlaingtharya (East)
GSM,414,1,306,11241,96.087112426758,16.866073608398,1000,0,MPT,Hlaingtharya (East)
UMTS,414,1,352,2705021,96.177749633789,16.79328918457,1000,0,MPT,Mingalartaungnyunt
GSM,414,1,352,16682,96.153030395508,16.818008422852,1000,0,MPT,Bahan
GSM,414,1,302,16601,96.154011,16.818008,1000,0,MPT,Bahan
GSM,414,1,352,17151,96.155594,16.819473,1000,0,MPT,Bahan
GSM,414,1,352,16681,96.154404,16.822521,1000,0,MPT,Bahan
GSM,414,1,352,18141,96.154404,16.826077,1000,0,MPT,Bahan
GSM,414,1,353,17321,96.155777,16.835518,1000,0,MPT,Yankin
GSM,414,1,352,17321,96.155319,16.832886,1000,0,MPT,Yankin
GSM,414,1,302,16152,96.155746,16.837784,1000,0,MPT,Mayangone
GSM,414,1,302,16561,96.158711,16.841729,1000,0,MPT,Yankin
GSM,414,1,304,16043,96.120529,16.838608,1000,0,MPT,Hlaing
UMTS,414,1,351,2042492,96.085052,16.959457,1000,0,MPT,Shwepyithar
