rank,adm3_name,adm4_name,lat,lon,is_rural,nearest_tower_km,gap_score,earthquake_raw,cyclone_raw,earthquake_score,cyclone_score,flood_score,hazard_score,safety_score,baseline_suitability,underserved_5km,suitability_score
1,Kyauktan,Shan Chaung,16.546426248877037,96.58422419425696,1,24.74427092686636,0.9897708370746544,127.05382526298106,0.0814096778143812,0.0525235011962627,1.0,0.0,0.1946449760168233,0.8053550239831767,96.46657558422692,True,96.46657558422692
2,Kyauktan,Na Ywe Chaung,16.529282776241338,96.503287917945,1,22.06253624117172,0.8825014496468687,130.40610935003184,0.0807407812405291,0.1451452606078301,1.0,0.0,0.2733734715166556,0.7266265284833444,88.84948490606229,True,88.84948490606229
3,Kyauktan,Ma Yan Bay,16.65461383655088,96.65195654109183,1,17.43477299701923,0.6973909198807692,125.15282814982932,0.0788800906598738,0.0,0.94007021757772,0.0,0.141010532636658,0.858989467363342,79.72829720329628,True,79.72829720329628
4,Kyauktan,Ku Lar Tan,16.494773702907377,96.42047990003884,1,18.28914289887496,0.7315657159549983,133.4529980898464,0.0805508212305322,0.2293291151036451,1.0,0.0,0.3449297478380983,0.6550702521619016,78.71999673972842,True,78.71999673972842
5,Kyauktan,Pan Chaung,16.64094611992227,96.474423152033,1,15.081663422939943,0.6032665369175978,132.73850198547677,0.0768048752395959,0.2095879820251394,0.8583490195502793,0.0,0.3069021376539104,0.6930978623460895,71.59246015024722,True,71.59246015024722
6,Thanlyin,Kayin Seik,16.763737150030625,96.38996811960034,1,11.43830412935582,0.4575321651742328,137.84361900692005,0.0719785550889081,0.3506395481362949,0.6682903582064064,0.0,0.3982871696468116,0.6017128303531883,61.477622365751806,True,61.47762236575179
7,Kyauktan,Ka Dat Pa Na,16.679922874729552,96.53799421614733,1,9.33300708616065,0.373320283446426,130.54882597942688,0.0765084360766134,0.1490884423217303,0.8466753574791214,0.0,0.253726479595339,0.746273520404661,58.59331981285548,True,58.59331981285547
8,Kyauktan,Ywar Thit Ka Lay,16.58440533156873,96.40507778838013,1,9.941706275477507,0.3976682510191003,134.8436292569848,0.0775146579327287,0.2677514868502579,0.8862999934372183,0.0,0.3605337628383019,0.639466237161698,58.45208861857149,True,58.45208861857149
9,Kyauktan,Kan Pyaung,16.690965742534598,96.40198352278266,1,9.855868344980053,0.3942347337992021,136.24603363113803,0.0742630694196909,0.3064991458098022,0.7582536681346954,0.0,0.3742623241585362,0.6257376758414638,58.040149165574086,True,58.040149165574086
10,Kyauktan,Mee Pya,16.55455816493147,96.33313599900151,1,8.57408774650699,0.3429635098602796,137.1750851816542,0.0773221136057588,0.3321683274657507,0.8787176706963521,0.0,0.4141507289503409,0.5858492710496591,54.365549657361655,True,54.365549657361655
11,Thanlyin,Win Kha Nee,16.959431137636134,96.38391591427175,1,6.999740657372791,0.2799896262949116,142.18370286915643,0.0664841627792912,0.4705536702319966,0.4519232680300407,0.0,0.4677591099017032,0.5322408900982968,49.782990929169145,True,49.782990929169145
12,Dala,Da Noke San Pya,16.6109387,96.21245842,1,6.5705709654647455,0.2628228386185898,140.41447731963143,0.0737404939780175,0.38843747705895,1.0,0.0,0.4801718555001074,0.5198281444998926,48.56679248461377,True,48.56679248461377
13,Thanlyin,Yone Tha Pyay Kan,16.826318476877905,96.35149391056024,1,5.458685164540221,0.2183474065816088,140.4639802437583,0.0696965283423594,0.4230386830984368,0.5784250084039999,0.0,0.4463466318942712,0.5536533681057287,46.40564491648246,True,46.40564491648246
14,Dala,Tha Yaw Tan,16.6610959,96.08419836,1,5.699100626504212,0.2279640250601684,144.35092924848715,0.0717407935705692,0.5685509811297226,1.0,0.0,0.6332683339602642,0.3667316660397358,44.17881649420615,True,44.17881649420614
15,Dala,Kha Naung (Ywar Ma),16.69111749,96.19147367,1,4.832535323744748,0.1933014129497899,142.07649209217834,0.0718291180448283,0.4644834468589242,1.0,0.0,0.5448109298300855,0.4551890701699145,43.42592082953611,False,43.42592082953611
